arabic,english
أحب الطريقة التي تعامليني بها.,I like the way you treat me.
كل هذه الافلام مملة,All these movies are boring.
نحن نتقابل مرة في الشهر,We see each other once a month.
عند توم علبة أربعة لتر من الخمر الرخيص في ثلاجته,Tom has a four-liter box of cheap wine in his fridge.
أنا فعلا أقدر صحبتك,I really appreciate your company.
أريد أن أتحدث معك بموضوع,There's something that I need to talk to you about.
ليس عندي الوقت لأساعدك في حل واجبك,I don't have time to help you with your homework.
ينمو الأطفال سريعا,Children grow up very quickly.
أختي الكبرى تسبح سريعا جدا,My older sister swims very fast.
وكأنني كنت أحدث الحائط.,It's like I was talking to a wall.
كانت تلبس بلوزة حمراء وتنورة بيضاء,She was clothed in a red blouse and white skirt.
سلفت توم السيارة,I lent Tom the car.
جلست وراء شخص طويل جدا في المسرح,I sat behind a very tall person at the theater.
قمت فقط بتنظيف جميع الطاولات,I just cleaned all the tables.
ليس معي أكثر من خمسة دولارات,I have no more than five dollars.
اخلع ملابسك!,Take off your clothes.
نحن بمأمن الآن.,We're safe now.
نحن في أمان الآن.,We're safe now.
أنا شديدة الفخر بأبي.,I'm very proud of my father.
أنا فخورة جدا بأبي.,I'm very proud of my father.
أنا فخورة جدا بوالدي.,I'm very proud of my father.
أنا هنا من أجلك.,I'm here for you.
إنني هنا لأجلك.,I'm here for you.
لا أريدك أن تقلق بشأني.,I don't want you to worry about me.
سامحني أرجوك.,Please forgive me.
مازلت أكرهك.,I still hate you.
أنا من طوكيو عاصمة اليابان.,"I'm from Tokyo, Japan."
ما الخطب؟,What's wrong?
ما المشكلة؟,What's wrong?
"هل لديك أدنی فكرة عن سبب كره ""توم"" لي ؟",Do you have any idea why Tom doesn't like me?
أشعر بالفضول فحسب.,I'm just curious.
أنا احترمك.,I look up to you.
اهدأ يا بني.,"Calm down, son."
عملت عملا شاقا لكي أدعم عائلتي.,I worked hard in order to support my family.
اغلق فمك.,Shut your mouth.
أقدر كل ما فعلته.,I appreciate all you did.
أتذكر كل ما تقوله لي.,I remember everything you tell me.
أرجوك قف إلی جانبي عندما أحتاجك.,Please stand by me when I need you.
يجعلني سعيدة جدا.,It makes me so happy.
مذهل.,Wonderful!
هل تملك رخصة قيادة؟,Do you have a driver's license?
أنا عطشان.,I got thirsty.
نحن من كندا.,We're Canadians.
نحن من كندا.,We are from Canada.
نحن كنديون.,We're Canadians.
هذا ما يشعرني بالسعادة.,That's what makes me happy.
انتظر، أريد إخبارك بأمر ما.,Wait. I want to tell you something.
نسي( توم ) أن يدفع الفاتورة.,Tom forgot to pay the bill.
كان ينظر إليها.,He was looking at her.
سررت برؤيته.,I was happy to see him.
أوقفهم.,Stop them.
لماذا كذبت علي؟,Why did you lie to me?
أعيده إلي.,Bring it back to me.
قاتلوا من أجل وطنهم .,They fought for their homeland.
المعلم الجيد يجب ان يكون صبورا مع طلابه.,A good teacher must be patient with his students.
انا لست عضوا بالنادي.,I'm not a member of the club.
الصدق أفضل سياسة .,Honesty is the best policy.
انا اشعر بالملل.,I feel bored.
ماذا تعتقد الآن؟,What do you think now?
لا أملك المال.,I have no money with me.
هل علي أن أجيب علی أسئلتك كلها؟,Do I have to answer all of the questions?
هل يجب علي أن أجيب علی أسئلتك كلها؟,Do I have to answer all of the questions?
سوف تثق بك.,She will trust you.
ستثق بك.,She will trust you.
هل قبلت دعوته؟,Did you accept his invitation?
لا أملك أي دليل.,I don't have any evidence.
لا أملك دليلا.,I don't have any evidence.
ليس لدي دليل.,I don't have any evidence.
في أي عام ولدت؟,What year were you born?
لا تخيب ظني بك!,Don't disappoint me.
أنا لوحدي.,I'm alone.
يمكن أن تحدث الزلازل في أي لحظة.,Earthquakes may occur at any moment.
لقد فعلت ذلك لأجلها.,I did it for her.
فعلت ذلك من أجلها.,I did it for her.
لماذا هي غاضبة؟,Why is she angry?
ما سبب غضبها؟,Why is she angry?
اعتقد بأنه لا يمكننا الرفض.,I guess we can't say no.
أريد كأسا من الماء من فضلك.,"A glass of water, please."
توم كان قلبه مكسور عندما مات كلبه,Tom was heartbroken when his dog died.
توم كان قلبه مكسور عندما ماري قالت له انها تركته,Tom was heartbroken when Mary told him she was leaving him.
هلا ساعدتني؟ سأكون مسرورا بذلك.,"Will you help me? ""I'll be glad to."""
هل يمكننا البقاء هنا؟,Can we stay here?
هذه الكلمة مشتقة من اللاتينية.,This word is derived from Latin.
أقوالك لا تطابق أفعالك.,Your words don't match your actions.
أريد إجابة منك في أسرع وقت ممكن.,I want an answer from you ASAP.
أراد توم أن يفكر بها فقط.,Tom wanted only to think of her.
أحببت حقا الحديث مع توم.,I really liked talking to Tom.
أعلم بأنك لا تصدقني.,I know you don't believe me.
يا له من تصميمٍ جميل !,What a beautiful design!
كثير من الناس يقومون بذلك.,A lot of people do that.
ما الذي يجعلك متيقّنًا بأنّ توم هو الذي سرق درّاجتك؟,What makes you so sure Tom was the one who stole your bicycle?
يحبّ اليابانيّون أكل التونا.,Japanese people like to eat tuna.
لهذه القصّة نهاية حزينة.,This story has an unhappy ending.
سأفعل أيّ شيء لأجلك يا ماري.,"I'd do anything for you, Mary."
أيتوافر هذا بلون مختلف؟,Does this come in any other color?
اسمي ليس في القائمة.,My name isn't on the list.
تزوّجنا لأنّنا نحبّ بعضنا البعض.,We got married because we love each other.
لا تنسَ معطفك.,Don't forget your coat.
أحرز توم هدفًا.,Tom scored a goal.
لستُ سوى فتاة عاديّة.,I'm just a normal girl.
لستُ سوى شخص عاديّ.,I'm just a normal person.
لحظة! ما هذا؟,"Wait, what is this?"
جميع أفراد عائلتي خارج المدينة.,All of my friends are out of town.
جميع زملاء صفّي خارج المدينة.,All of my roommates are out of town.
لمَ تركت وظيفتك؟,Why did you leave your job?
استقبلنا الكثير من التطبيقات كردّ على الإعلانات.,We've received a lot of applications in answer to our advertisements.
سنرى ما سيحدث.,We'll see what happens.
متى تخرّجت من الكليّة؟,When did you graduate from college?
لم يواجه صعوبةً تذكر في حلّ المشكلة.,He had no difficulty solving the problem.
قد يسمعانا.,They might hear us.
قد يسمعونا.,They might hear us.
انزع جوربيك.,Take off your socks.
انزعي جوربيكِ.,Take off your socks.
موقعنا على الوِب متوقّف للصيانة المجدولة.,Our website is offline for scheduled maintenance.
ماذا تسمي هذا ؟,What do you call this?
كيف تقول......؟,How do you say...?
سمعته ينزل السلالم.,I heard him coming downstairs.
لن نذهب إن أمطرت غدًا.,"If it rains tomorrow, we won't go."
أيمكنك تولّي أمره؟,Can you deal with it?
سأمهلك حتّى الغدّ.,I'm giving you time until tomorrow.
قلم مَن هذا؟,Whose pen is this?
السلامة ولا الندامة.,Better safe than sorry.
الوقاية خير من قنطار علاج.,Better safe than sorry.
أرى أنك تعمل.,I can see that you are working.
اللحم غال جدا اليوم.,Meat is very expensive nowadays.
ما وزنك؟,How much do you weigh?
لدينا ضيوف.,We have guests.
لا تأكل.,Do not eat.
هل تعلمون من أنا ؟,Do you know who I am?
هل تعلمين من أنا ؟,Do you know who I am?
من إيميلي؟,Who is Emily?
عندي أخوة.,I have brothers.
توجد جزر في البحر.,There are islands in the sea.
أنا خباز.,I'm a baker.
أنا طبيب.,I'm a doctor.
بابا نويل يعيش في القطب الشمالي.,Santa lives at the North Pole.
أيمكنني أخذ قسط من الراحة الآن؟,Can I take a break now?
لا أظن ذلك.,I don't think so.
قضى توم معظم الأيام يتسول من أجل المال أمام مناطق الجذب السياحية.,Tom spent most days begging for money in front of tourist attractions.
توم يحتاج الى محامٍ جيد.,Tom needs a good lawyer.
هي على قيد الحياة!,She is alive!
توم لا يستطيع أن يقرر في ما لو يشتري سيارة تيوتا أو فورد.,Tom can't decide whether to buy a Toyota or a Ford.
أعطت الممرضة توم لقاح الانفلونزا.,The nurse gave Tom a flu shot.
كان يجب عليك أن تقول الحقيقة لتوم.,You should've told Tom the truth.
عليك أن تأخذ هذا.,You have to take this.
لا يزال الجميع يبتسم.,Everyone is still smiling.
السيد جونسون ليس عالماً ولكنه شاعراً.,Mr Johnson is not a scholar but a poet.
تكاليف الخدمات المالية آخذة في الارتفاع في كل بلد.,Costs of financial services are rising in every country.
هو يعتقد أنني أحبها.,He thinks I love her.
خدم توم فترتين في الكونغرس.,Tom served two terms in Congress.
لقد صدم من قبل سيارة وتوفي على الفور.,He was hit by a car and died instantly.
